start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1773619200,1773705600,2026-03-16T00:00:00+00:00,2026-03-17T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1773705600,1773792000,2026-03-17T00:00:00+00:00,2026-03-18T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,13.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-2024-08-06,False,default,457882.0,12562.0,313344.0,144538.0,144538.0,12562.0,313344.0,0.0,0.0,0.0,0.0,0.0,0.0
1773705600,1773792000,2026-03-17T00:00:00+00:00,2026-03-18T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,27.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_wTHKDdfHfnExsQJ0,gpt-4o-2024-08-06,False,default,1093372.0,13069.0,356864.0,736508.0,736508.0,13069.0,356864.0,0.0,0.0,0.0,0.0,0.0,0.0
1773705600,1773792000,2026-03-17T00:00:00+00:00,2026-03-18T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,12.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-mini-2024-07-18,False,default,11721.0,154.0,0.0,11721.0,11721.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773705600,1773792000,2026-03-17T00:00:00+00:00,2026-03-18T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,19.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_wTHKDdfHfnExsQJ0,gpt-4o-mini-2024-07-18,False,default,13458.0,247.0,0.0,13458.0,13458.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773792000,1773878400,2026-03-18T00:00:00+00:00,2026-03-19T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,295.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-2024-08-06,False,default,10388088.0,235264.0,8543232.0,1844856.0,1844856.0,235264.0,8543232.0,0.0,0.0,0.0,0.0,0.0,0.0
1773792000,1773878400,2026-03-18T00:00:00+00:00,2026-03-19T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,294.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-mini-2024-07-18,False,default,226894.0,3810.0,0.0,226894.0,226894.0,3810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773878400,1773964800,2026-03-19T00:00:00+00:00,2026-03-20T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,339.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-mini-2024-07-18,False,default,263218.0,7277.0,0.0,263218.0,263218.0,7277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773878400,1773964800,2026-03-19T00:00:00+00:00,2026-03-20T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,286.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-2024-08-06,False,default,10324095.0,199724.0,7022208.0,3301887.0,3301887.0,199724.0,7022208.0,0.0,0.0,0.0,0.0,0.0,0.0
1773964800,1774051200,2026-03-20T00:00:00+00:00,2026-03-21T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,293.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-2024-08-06,False,default,12748535.0,242993.0,10519552.0,2228983.0,2228983.0,242993.0,10519552.0,0.0,0.0,0.0,0.0,0.0,0.0
1773964800,1774051200,2026-03-20T00:00:00+00:00,2026-03-21T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,574.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-mini-2024-07-18,False,default,485237.0,23312.0,0.0,485237.0,485237.0,23312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774051200,1774137600,2026-03-21T00:00:00+00:00,2026-03-22T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,263.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-2024-08-06,False,default,7877776.0,178068.0,6890368.0,987408.0,987408.0,178068.0,6890368.0,0.0,0.0,0.0,0.0,0.0,0.0
1774051200,1774137600,2026-03-21T00:00:00+00:00,2026-03-22T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,596.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-mini-2024-07-18,False,default,1176371.0,33299.0,676352.0,500019.0,500019.0,33299.0,676352.0,0.0,0.0,0.0,0.0,0.0,0.0
1774137600,1774224000,2026-03-22T00:00:00+00:00,2026-03-23T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,768.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-mini-2024-07-18,False,default,10167061.0,125004.0,7169280.0,2997781.0,2997781.0,125004.0,7169280.0,0.0,0.0,0.0,0.0,0.0,0.0
1774137600,1774224000,2026-03-22T00:00:00+00:00,2026-03-23T00:00:00+00:00,proj_LVd5yvKpJBOBq2IMoIZ9P9wH,44.0,user-SGFyGtaJNI0IOBUE3RNTQP3J,key_xUAoVatA6enehpih,gpt-4o-2024-08-06,False,default,1819653.0,31240.0,222208.0,1597445.0,1597445.0,31240.0,222208.0,0.0,0.0,0.0,0.0,0.0,0.0
